"County_Name","Sub-county_Name","Crop_Year","Season","Crop","Area","Production","cat_crop"
"Nairobi","Sub-county_Name_KIBRA","2021","Long Rains","Crop_Cowpeas","2118","5671","Crop_Cowpeas"
"Laikipia","Sub-county_Name_NYAHURURU","2009","Autumn","Crop_Safflower","4437","6342","Crop_Safflower"
"Marsabit","Sub-county_Name_LAISAMIS","2004","Long Rains","Crop_Safflower","8089","4825","Crop_Safflower"
"Nandi","Sub-county_Name_CHESUMEI","2002","Long Rains","Crop_Onions","6781","1647","Crop_Onions"
"Nyamira","Sub-county_Name_BORABU","2020","Autumn","Crop_Mangoes","3672","6296","Crop_Mangoes"
"Kisii","Sub-county_Name_BONCHARI","2012","Short Rains","Crop_Mangoes","4163","6511","Crop_Mangoes"
"Tharaka Nithi","Sub-county_Name_THARAKA NORTH","2020","Long Rains","Crop_Cowpeas","5259","1458","Crop_Cowpeas"
"West Pokot","Sub-county_Name_NORTH POKOT","2004","Autumn","Crop_Wheat","5469","2263","Crop_Wheat"
"Kajiado","Sub-county_Name_LOITOKITOK","2019","Long Rains","Crop_Coriander","7560","1981","Crop_Coriander"
"Homa Bay","Sub-county_Name_KABONDO KASIPUL","2025","Winter","Crop_Maize (Processed)","8516","5580","Crop_Maize (Processed)"
"Busia","Sub-county_Name_TESO NORTH","2001","Autumn","Crop_Sannhamp","7677","3517","Crop_Sannhamp"
"Kwale","Sub-county_Name_KINANGO","2008","Short Rains","Crop_Pulses total","8280","7666","Crop_Pulses total"
"Kiambu","Sub-county_Name_KABETE","2005","Long Rains","Crop_Samai","3177","7023","Crop_Samai"
"Kwale","Sub-county_Name_MATUGA","2008","Short Rains","Crop_Safflower","6891","9638","Crop_Safflower"
"Marsabit","Sub-county_Name_SAKU","2025","Long Rains","Crop_Cabbage","1666","9848","Crop_Cabbage"
"Turkana","Sub-county_Name_TURKANA NORTH","2008","Spring","Crop_Potatoes","4929","7527","Crop_Potatoes"
"Meru","Sub-county_Name_TIGANIA EAST","2010","Autumn","Crop_Barley","4196","5519","Crop_Barley"
"Marsabit","Sub-county_Name_NORTH HORR","2001","Long Rains","Crop_Soya Beans","9065","4107","Crop_Soya Beans"
"Migori","Sub-county_Name_NTIMARU","1999","Long Rains","Crop_Cashew Nuts Raw","7014","8185","Crop_Cashew Nuts Raw"
"Kwale","Sub-county_Name_LUNGA LUNGA","2020","Short Rains","Crop_Dry Chillies","5046","9291","Crop_Dry Chillies"
"Kilifi","Sub-county_Name_MALINDI","1999","Long Rains","Crop_Pumpkin","5658","9745","Crop_Pumpkin"
"Garissa","Sub-county_Name_LAGDERA","2011","Short Rains","Crop_Groundnuts","1003","4159","Crop_Groundnuts"
"Elgeyo Marakwet","Sub-county_Name_MARAKWET EAST","2016","Spring","Crop_Common Beans & Mung Beans (Vegetable)","6515","9055","Crop_Common Beans & Mung Beans (Vegetable)"
"Makueni","Sub-county_Name_KIBWEZI WEST","2002","Winter","Crop_Tea","8359","9198","Crop_Tea"
"Baringo","Sub-county_Name_TIATY","2002","Short Rains","Crop_Barley","6301","6254","Crop_Barley"
"Kisumu","Sub-county_Name_NYAKACH","2012","Long Rains","Crop_Bananas","4172","5245","Crop_Bananas"
"Embu","Sub-county_Name_MBEERE NORTH","1998","Long Rains","Crop_Tomatoes","6050","5071","Crop_Tomatoes"
"Bomet","Sub-county_Name_SOTIK","2005","Long Rains","Crop_Pearl Millet","8576","9950","Crop_Pearl Millet"
"Siaya","Sub-county_Name_GEM","2023","Winter","Crop_Other Rabi pulses","7092","3559","Crop_Other Rabi pulses"
"Lamu","Sub-county_Name_LAMU WEST","2006","Long Rains","Crop_Coconut","7040","7350","Crop_Coconut"
"Mombasa","Sub-county_Name_MVITA","2016","Spring","Crop_Other Fresh Fruits","5577","6482","Crop_Other Fresh Fruits"
"Homa Bay","Sub-county_Name_SUBA","2011","Short Rains","Crop_Onions","1829","2505","Crop_Onions"
"Machakos","Sub-county_Name_MASINGA","2014","Spring","Crop_Lentils","5063","7352","Crop_Lentils"
"Kilifi","Sub-county_Name_KILIFI SOUTH","2004","Short Rains","Crop_Bottle Gourd","7275","1429","Crop_Bottle Gourd"
"Taita Taveta","Sub-county_Name_WUNDANYI","2002","Short Rains","Crop_Moth","9613","2858","Crop_Moth"
"Kajiado","Sub-county_Name_MASHUURU","1999","Long Rains","Crop_Common Beans & Mung Beans (Vegetable)","3833","1809","Crop_Common Beans & Mung Beans (Vegetable)"
"Nyandarua","Sub-county_Name_OL KALOU","1999","Long Rains","Crop_Niger seed","1498","8473","Crop_Niger seed"
"Elgeyo Marakwet","Sub-county_Name_KEIYO NORTH","2012","Spring","Crop_Other Rabi pulses","8565","4040","Crop_Other Rabi pulses"
"Kisumu","Sub-county_Name_MUHORONI","2015","Spring","Crop_Potatoes","4057","2789","Crop_Potatoes"
"Homa Bay","Sub-county_Name_RANGWE","2025","Winter","Crop_Tomatoes","938","6479","Crop_Tomatoes"
"Laikipia","Sub-county_Name_NYAHURURU","1999","Spring","Crop_Maize (Processed)","5542","1278","Crop_Maize (Processed)"
"Kiambu","Sub-county_Name_KIAMBAA","2005","Long Rains","Crop_Pigeon Peas","7476","8108","Crop_Pigeon Peas"
"Homa Bay","Sub-county_Name_KARACHUONYO","2005","Long Rains","Crop_Common Beans & Mung Beans (Vegetable)","5500","6867","Crop_Common Beans & Mung Beans (Vegetable)"
"Bomet","Sub-county_Name_BOMET EAST","2021","Long Rains","Crop_Maize (Processed)","7601","1823","Crop_Maize (Processed)"
"Laikipia","Sub-county_Name_LAIKIPIA CENTRAL","2003","Short Rains","Crop_Wheat","2177","5258","Crop_Wheat"
"Busia","Sub-county_Name_BUTULA","2024","Autumn","Crop_Linseed","9518","7838","Crop_Linseed"
"West Pokot","Sub-county_Name_CENTRAL POKOT","2010","Long Rains","Crop_Cowpeas","7235","9096","Crop_Cowpeas"
"Nairobi","Sub-county_Name_MATHARE","2023","Long Rains","Crop_Ginger","4973","9578","Crop_Ginger"
"Nyeri","Sub-county_Name_TETU","2015","Short Rains","Crop_Sapota","5992","2602","Crop_Sapota"
"Kirinyaga","Sub-county_Name_KIRINYAGA EAST","2000","Short Rains","Crop_Grapes","7287","4390","Crop_Grapes"
"West Pokot","Sub-county_Name_NORTH POKOT","2002","Short Rains","Crop_Jute","493","5597","Crop_Jute"
"Nairobi","Sub-county_Name_STAREHE","2002","Short Rains","Crop_Horse-gram","4471","4543","Crop_Horse-gram"
"Makueni","Sub-county_Name_MBOONI","2021","Spring","Crop_Moth","1711","3189","Crop_Moth"
"Turkana","Sub-county_Name_TURKANA EAST","2015","Short Rains","Crop_Chickpeas","4316","1287","Crop_Chickpeas"
"Bomet","Sub-county_Name_KONOIN","2019","Long Rains","Crop_Potatoes","5318","9186","Crop_Potatoes"
"Tana River","Sub-county_Name_GALOLE","2020","Spring","Crop_Grapes","7348","9473","Crop_Grapes"
"Kitui","Sub-county_Name_KITUI WEST","2021","Autumn","Crop_Bananas","841","9176","Crop_Bananas"
"Uasin Gishu","Sub-county_Name_AINABKOI","2018","Long Rains","Crop_Castor seed","1240","9186","Crop_Castor seed"
"Bomet","Sub-county_Name_CHEPALUNGU","2002","Spring","Crop_Papaya","2888","1963","Crop_Papaya"
"Nandi","Sub-county_Name_TINDIRET","2025","Short Rains","Crop_other oilseeds","4799","3000","Crop_other oilseeds"
"West Pokot","Sub-county_Name_CENTRAL POKOT","2021","Short Rains","Crop_Tomatoes","6835","8516","Crop_Tomatoes"
"Nyandarua","Sub-county_Name_KINANGOP","2009","Winter","Crop_Coconut","3659","1995","Crop_Coconut"
"Trans Nzoia","Sub-county_Name_KIMININI","2002","Autumn","Crop_Coconut","7501","8460","Crop_Coconut"
"Nakuru","Sub-county_Name_NAIVASHA","1998","Autumn","Crop_Snake Gourd","1744","2821","Crop_Snake Gourd"
"Narok","Sub-county_Name_NAROK WEST","2014","Long Rains","Crop_Sannhamp","3236","1915","Crop_Sannhamp"
"Nakuru","Sub-county_Name_NAKURU TOWN WEST","2013","Autumn","Crop_Common Beans & Mung Beans (Vegetable)","1968","7002","Crop_Common Beans & Mung Beans (Vegetable)"
"Busia","Sub-county_Name_BUTULA","2005","Short Rains","Crop_Sapota","3596","5017","Crop_Sapota"
"Mombasa","Sub-county_Name_CHANGAMWE","2025","Autumn","Crop_Turmeric","9438","8278","Crop_Turmeric"
"Makueni","Sub-county_Name_KIBWEZI WEST","2001","Long Rains","Crop_Pome Fruit","8726","2332","Crop_Pome Fruit"
"Lamu","Sub-county_Name_LAMU EAST","2012","Short Rains","Crop_Coconut","3156","9457","Crop_Coconut"
"Baringo","Sub-county_Name_TIATY","2013","Autumn","Crop_Maize","2578","5624","Crop_Maize"
"Kilifi","Sub-county_Name_MALINDI","2017","Spring","Crop_Blackgram","9635","4036","Crop_Blackgram"
"Nandi","Sub-county_Name_TINDIRET","2000","Long Rains","Crop_Cashew Nuts Processed","7565","8727","Crop_Cashew Nuts Processed"
"Migori","Sub-county_Name_KURIA EAST","2016","Winter","Crop_Sugarcane","1539","8783","Crop_Sugarcane"
"Kisii","Sub-county_Name_SOUTH MUGIRANGO","2002","Spring","Crop_Other Vegetables","6531","9969","Crop_Other Vegetables"
"Baringo","Sub-county_Name_BARINGO CENTRAL","2015","Short Rains","Crop_Other Kharif pulses","6239","4856","Crop_Other Kharif pulses"
"Isiolo","Sub-county_Name_MERTI","2006","Spring","Crop_Oranges","3108","2835","Crop_Oranges"
"Kilifi","Sub-county_Name_RABAI","2011","Spring","Crop_Cashew Nuts Raw","5996","9530","Crop_Cashew Nuts Raw"
"Homa Bay","Sub-county_Name_HOMABAY TOWN","2007","Short Rains","Crop_Maize (Processed)","6318","8155","Crop_Maize (Processed)"
"Nairobi","Sub-county_Name_KAMUKUNJI","2016","Spring","Crop_Coconut (Raw)","3494","5448","Crop_Coconut (Raw)"
"Kirinyaga","Sub-county_Name_KIRINYAGA WEST","2004","Short Rains","Crop_Mangoes","2618","6997","Crop_Mangoes"
"Lamu","Sub-county_Name_LAMU WEST","2022","Short Rains","Crop_Bananas","4030","8314","Crop_Bananas"
"Lamu","Sub-county_Name_LAMU WEST","2013","Long Rains","Crop_Bananas","5300","2709","Crop_Bananas"
"Taita Taveta","Sub-county_Name_MWATATE","2024","Long Rains","Crop_Maize","8347","7799","Crop_Maize"
"Nyamira","Sub-county_Name_NYAMIRA SOUTH","2006","Autumn","Crop_Cabbage","3886","6337","Crop_Cabbage"
"Migori","Sub-county_Name_SUNA WEST","2009","Short Rains","Crop_Korra","9231","9995","Crop_Korra"
"Mombasa","Sub-county_Name_LIKONI","2013","Short Rains","Crop_Pineapples","967","7041","Crop_Pineapples"
"Lamu","Sub-county_Name_LAMU WEST","2018","Short Rains","Crop_Onions","2134","1296","Crop_Onions"
"Kwale","Sub-county_Name_KINANGO","2002","Winter","Crop_Tomatoes","6030","4530","Crop_Tomatoes"
"Kiambu","Sub-county_Name_GATUNDU NORTH","2014","Long Rains","Crop_Korra","1304","7147","Crop_Korra"
"Machakos","Sub-county_Name_MAVOKO","2001","Long Rains","Crop_Mangoes","8985","9925","Crop_Mangoes"
"Isiolo","Sub-county_Name_ISIOLO","2003","Short Rains","Crop_Ginger","3751","1480","Crop_Ginger"
"Vihiga","Sub-county_Name_UGUNJA","1998","Short Rains","Crop_Safflower","1060","7960","Crop_Safflower"
"Kisii","Sub-county_Name_KITUTU CHACHE NORTH","2019","Autumn","Crop_Safflower","1833","6258","Crop_Safflower"
"Kajiado","Sub-county_Name_KAJIADO CENTRAL","2019","Long Rains","Crop_Mangoes","374","7469","Crop_Mangoes"
"Mandera","Sub-county_Name_MANDERA WEST","2005","Long Rains","Crop_Samai","4445","7200","Crop_Samai"
"Turkana","Sub-county_Name_LOIMA","1998","Long Rains","Crop_Cowpeas","5245","1584","Crop_Cowpeas"
"Kericho","Sub-county_Name_SOIN/SIGOWET","2022","Short Rains","Crop_Blackgram","4394","6416","Crop_Blackgram"
"Taita Taveta","Sub-county_Name_MWATATE","2016","Long Rains","Crop_Rice","1059","6445","Crop_Rice"
"Nairobi","Sub-county_Name_MATHARE","2018","Autumn","Crop_Safflower","6750","6358","Crop_Safflower"
"Kilifi","Sub-county_Name_RABAI","2024","Long Rains","Crop_other fibres","7861","9970","Crop_other fibres"
"Kajiado","Sub-county_Name_ISINYA","2019","Short Rains","Crop_Coconut","9199","3200","Crop_Coconut"
"Nyamira","Sub-county_Name_NYAMIRA SOUTH","2017","Short Rains","Crop_Tomatoes","1638","4074","Crop_Tomatoes"
"Homa Bay","Sub-county_Name_SUBA","2013","Long Rains","Crop_Horse-gram","1218","1818","Crop_Horse-gram"
"Kakamega","Sub-county_Name_KAKAMEGA CENTRAL","2023","Long Rains","Crop_Sapota","5071","5082","Crop_Sapota"
"Murang’a","Sub-county_Name_GATANGA","2003","Long Rains","Crop_Small Millets","2725","4166","Crop_Small Millets"
"Trans Nzoia","Sub-county_Name_KIMININI","1998","Long Rains","Crop_Tomatoes","2323","4622","Crop_Tomatoes"
"Vihiga","Sub-county_Name_UGENYA","2023","Short Rains","Crop_Coconut (Raw)","3190","6254","Crop_Coconut (Raw)"
"Laikipia","Sub-county_Name_LAIKIPIA CENTRAL","2019","Short Rains","Crop_Sesame","1105","7409","Crop_Sesame"
"Makueni","Sub-county_Name_KAITI","2018","Autumn","Crop_Other Kharif pulses","3120","7191","Crop_Other Kharif pulses"
"Tharaka Nithi","Sub-county_Name_THARAKA NORTH","2011","Short Rains","Crop_Pulses total","9352","5688","Crop_Pulses total"
"Meru","Sub-county_Name_IGEMBE CENTRAL","2023","Long Rains","Crop_Oilseeds total","2367","1178","Crop_Oilseeds total"
"Kirinyaga","Sub-county_Name_MWEA EAST","2006","Short Rains","Crop_Drum Stick","1478","7337","Crop_Drum Stick"
"Nyamira","Sub-county_Name_MANGA","1999","Long Rains","Crop_Bananas","2056","2534","Crop_Bananas"
"Kisii","Sub-county_Name_BONCHARI","2023","Long Rains","Crop_Radish","1633","3907","Crop_Radish"
"Machakos","Sub-county_Name_MATUNGULU","2011","Long Rains","Crop_Cassava","8826","7822","Crop_Cassava"
"Kericho","Sub-county_Name_BELGUT","2012","Spring","Crop_Pineapples","4513","6056","Crop_Pineapples"
"Trans Nzoia","Sub-county_Name_ENDEBESS","2012","Long Rains","Crop_Oilseeds total","4398","2075","Crop_Oilseeds total"
"Machakos","Sub-county_Name_MACHAKOS TOWN","1999","Autumn","Crop_Pumpkin","5203","3367","Crop_Pumpkin"
"West Pokot","Sub-county_Name_WEST POKOT","2010","Winter","Crop_Mung Beans","8790","7208","Crop_Mung Beans"
"Samburu","Sub-county_Name_SAMBURU WEST","2011","Spring","Crop_Carrots","8804","5054","Crop_Carrots"
"Kakamega","Sub-county_Name_KAKAMEGA EAST","2025","Autumn","Crop_Pomegranates","2823","3370","Crop_Pomegranates"
"Kisii","Sub-county_Name_NYARIBARI MASABA","2012","Short Rains","Crop_Cabbage","6918","5822","Crop_Cabbage"
"Wajir","Sub-county_Name_TARBAJ","2007","Long Rains","Crop_Cowpeas","5275","6706","Crop_Cowpeas"
"Nyeri","Sub-county_Name_MATHIRA WEST","2002","Short Rains","Crop_Maize","4654","4746","Crop_Maize"
"Isiolo","Sub-county_Name_ISIOLO","2000","Long Rains","Crop_Groundnuts","9646","3803","Crop_Groundnuts"
"Kirinyaga","Sub-county_Name_KIRINYAGA EAST","1998","Spring","Crop_Bananas","6803","5982","Crop_Bananas"
"Narok","Sub-county_Name_NAROK NORTH","2020","Autumn","Crop_Rapeseed & Mustard","2830","7330","Crop_Rapeseed & Mustard"
"Kitui","Sub-county_Name_KITUI EAST","2025","Spring","Crop_Bananas","7085","1311","Crop_Bananas"
"Mombasa","Sub-county_Name_KISAUNI","2001","Winter","Crop_Cabbage","7439","3307","Crop_Cabbage"
"Makueni","Sub-county_Name_KIBWEZI WEST","2020","Long Rains","Crop_Rice","9192","2087","Crop_Rice"
"Mandera","Sub-county_Name_MANDERA NORTH","2021","Short Rains","Crop_Sesame","1893","4147","Crop_Sesame"
"Trans Nzoia","Sub-county_Name_CHERANGANY","2005","Long Rains","Crop_Cashew Nuts Raw","8660","4360","Crop_Cashew Nuts Raw"
"Kisii","Sub-county_Name_BOBASI","2025","Long Rains","Crop_Onions","4411","3344","Crop_Onions"
"Migori","Sub-county_Name_AWENDO","2008","Short Rains","Crop_Potatoes","8310","4106","Crop_Potatoes"
"Kiambu","Sub-county_Name_KIKUYU","1998","Short Rains","Crop_Cardamom","8143","4537","Crop_Cardamom"
"Tharaka Nithi","Sub-county_Name_THARAKA SOUTH","2022","Long Rains","Crop_Other Kharif pulses","5837","9418","Crop_Other Kharif pulses"
"Bomet","Sub-county_Name_SOTIK","2015","Winter","Crop_Radish","1076","5190","Crop_Radish"
